Where is retail store located in Brisbane?,Retail in the CBD is centred around the Queen Street Mall
Hello,Hi!
Hi,"Hello, how are you?"
How are you?,I'm doing great thanks. You can ask me about Brisbane city!
I'm doing great thanks,That's wonderful. You can ask me about Brisbane city!
Nice to meet you,Nice to meet you too. You can ask me about Brisbane city!
What modes of transportation are available in Brisbane?,"Public transportations available are buses, rails, and ferries."
How do you pay for the public transportations in Brisbane?,TransLink provides a unified ticketing and electronic payment system (known as 'go card') for South East Queensland. 
Are there lots of private cars  in Brisbane?,"Like all Australian cities, the most popular mode of transport is private car."
Does Brisbane have motorways?,Brisbane is served by a large network of urban and inter-urban motorways.
Are there tunnelways in Brisbane?,"Brisbane also has a large network of major road tunnels under the metropolitan area, they are the three longest road tunnels in Australia."
Is rail service in Brisbane wide?,The Queensland Rail City network consists of 152 train stations along 13 suburban rail lines and across the metropolitan area.
Are there lots of passengers using the railway service in Brisbane?,55 million passenger trips were taken across the network in 2018–19
Are there new or upcoming railway projects in Brisbane?,The Cross River Rail project includes a twin rail tunnel (5.9 kilometres (3.7 mi) long) which will pass under the Brisbane River to link two new railway stations at Albert Street in the CBD and Wooloongabba is under construction and scheduled to be completed in 2024.
Hos is bus service in Brisbane?,"Brisbane has a large dedicated bus rapid transit network, the Brisbane busway network. "
Where is the scope of bus services in Brisbane?,"The main network hubs are the King George Square, Queen Street, and Roma Street busway stations. There are also numerous suburban bus routes operating throughout the metropolitan area, including the high-frequency Blue and Maroon CityGlider routes which run between Newstead and West End (Blue), and Ashgrove and Stones Corner (Maroon) respectively."
Who is the  provider of ferry services in Brisbane?,"Transdev Brisbane Ferries operates three ferry services along the Brisbane River, CityCat, CityFerry and CityHopper."
Is there any free ferry servive in Brisbane?,"The free CityHopper service operates smaller vessels along a route between North Quay and Sydney Street, stopping at South Bank, Maritime Museum, Thornton Street, Eagle Street Pier, Holman Street and Dockside."
Are there dedicated patk for pedestrians and cyclists in Brisbane?,An extensive network of pedestrian and cyclist pathways span the banks of the Brisbane River in the inner suburbs to form the Riverwalk network.
Is there an airport in Brisbane?,Brisbane Airport (IATA code: BNE) is the city's main airport.
Is Brisbane Airport busy?,Brisbane Airport is the third busiest in Australia after Sydney Airport and Melbourne Airport.
What are the airline hubs are there in Brisbane Airport?,"The airport is an airline hub for Qantas, Virgin Australia and Jetstar as well as a number of minor and freight airlines."
Where are the Kangaroo Point Cliffs?,Between South Brisbane and Kangaroo Point.
Where you can find the most popular swimming and surfing beaches?,Immediately to the south and north of Brisbane are the Gold Coast and Sunshine Coast respectively
How is the structure of the local government area?,"There's an elected mayor (including the Lord Mayor of Brisbane), as well as a council composed of councillors representing geographical wards. City Hall is the seat of the Brisbane City Council, the governing corporation of the City of Brisbane LGA, and the bulk of its executive offices are located at the Brisbane Square skyscraper"
Where are located the Queensland courts?,"At Queen Elizabeth II Courts of Law in George Street, while the Magistrates court is located at the adjacent Brisbane Magistrates Court building."
Has Brisbane got prisons?,"Yes. Brisbane's largest prisons and correctional facilities, the Brisbane Correctional Centre, Brisbane Women's Correctional Centre, Arthur Gorrie Correctional Centre and Wolston Correctional Centre are located at Wacol, while the city's main historical prison, the Boggo Road Gaol, is now a museum"
How is the Queensland Performing Arts Centre composed?,"It consists of the Lyric Theatre, the Concert Hall, the Cremorne Theatre and the Playhouse Theatre and is home to the Queensland Ballet, Opera Queensland, the Queensland Theatre Company, and the Queensland Symphony Orchestra. "
Is there any arena in Brisbane?,"Yes. The Brisbane Entertainment Centre at Boondall is an arena which hosts many musical concerts, with some of the largest being held at Lang Park."
What is Ekka in Brisbane?,"The Royal Queensland Exhibition (known locally as the Ekka), an agricultural exhibition held each August at the Brisbane Showgrounds in Bowen Hills is the longest-running major annual event held in Brisbane, during which there is a public holiday for each local government area across Brisbane so as to enable widespread public attendance."
How many visitors attend the Buddha Birth Day festival ?,"It attracts over 200,000 visitors each year, and it is at South Bank parklands"
When is the Brisbane International Film Festival (BIFF) held?,Ever July/August in a variety of venues around Brisbane.
